Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
MCP ALLEY24 EAST LLC,1,48.2,48.2,93.0,0,9067356,0
GI TC LAKE UNION LLC,1,40.5,40.5,87.0,12527,7496034,0
GATES ARCHIVE LLC,1,93.4,93.4,50.0,1545678,2117660,0
EAST WEST INVESTMENT CO INC,1,7.8,7.8,98.0,0,1469732,0
WA HAZEL AND JOHNS LLC,1,262.8,262.8,67.0,4720419,2284355,0
FRED HUTCHINSON CANCER RESEARCH CENTER,1,45.1,45.1,80.0,104274,7446864,0
FRED HUTCHINSON CANCER RESEARCH CTR,1,580.5,580.5,63.0,9011800,19154272,0
H5 CAPITAL - SEATTLE REAL ESTATE II LLC,1,270.0,270.0,18.0,189939,48878060,0
SFIII FOS PONTIUS HOLDING LLC +SFIII PONTIUS LLC,1,17.3,17.3,79.0,0,3249614,0
ARE-SEATTLE NO 33 LLC,1,13.9,13.9,40.0,0,2621235,0
1144 EASTLAKE LLC,1,20.7,20.7,81.0,0,3899360,0
COLUMBIA WASHINGTON EASTLAKE OFFICE LLC,1,63.1,63.1,54.0,345978,8406793,0
CP IPERS SEATTLE LLC,1,14.2,14.2,92.0,0,2673896,0
BILL & MELINDA GATES FOUNDATION,1,925.6,925.6,87.0,15202434,22221097,0
JERICO DENTAL INVESTMENTS LTD,1,177.7,177.7,56.0,3296191,501010,0
KAMI LP +MILKIE STUDIO INC +ET AL,1,71.4,71.4,90.0,1123481,2206029,0
TERRY DENNY BUILDING LLC,1,43.7,43.7,74.0,691350,1312164,0
NAUTICAL LANDING LLC,1,61.2,61.2,,940951,2107642,0
BROTHERTON-PLEAS,1,7.9,7.9,73.0,0,1481848,0
BUCKLEY GROUP LLC,1,88.2,88.2,62.0,1629634,311676,0
ANHALT APARTMENT LLC,1,5.7,5.7,48.0,0,1069882,0
ELIZABETH JAMES SENIOR HOUSING,1,5.6,5.6,91.0,0,1047920,0
ADELPHI LLC,1,52.9,52.9,81.0,975890,210479,0
BROADMOOR GOLF CLUB,1,128.7,128.7,,2161090,2625272,0
GREENLIND BUILDING LLC,1,58.2,58.2,,1038730,570390,0
SINGLETON FAMILY OF WASHINGTON L L C,1,60.6,60.6,,1032125,1080702,0
ASC MADISON LLC,1,203.3,203.3,41.0,3427225,3997390,0
HUNT JULIA ROSE,1,0.0,0.0,,0,0,0
HOLY NAMES ACADEMY,1,231.6,231.6,79.0,4125871,2347737,0
CITY INVESTORS XXX LLC,1,83.0,83.0,,1470777,915831,0
SPACE NEEDLE LLC,1,155.1,155.1,,2352037,5678087,0
QUALITY FOOD CENTERS,1,132.0,132.0,88.0,2007857,4766581,0
KW RADIUS LLC +LF RADIUS TIC LLC,1,289.2,289.2,89.0,5022198,4231658,0
FREMONT BRIDGE PARTNERS LLC,1,0.0,0.0,,0,0,0
403 DEXTER AVENUE NORTH GROUND OWNER LLC,1,48.8,48.8,80.0,727982,1899811,0
BELKORP ORION LLC,1,18.2,18.2,93.0,63629,2787481,0
JUNE APARTMENTS LLC,1,6.1,6.1,97.0,0,1145311,0
624 YALE OWNER LLC,1,146.9,146.9,94.0,2383221,3816056,0
1511 DEXTER LIMITED PS,1,31.2,31.2,100.0,500621,872918,0
HH SEATTLE LLC,1,140.0,140.0,99.0,2368894,2666077,0
CITY INVESTORS XXIV LLC,1,131.9,131.9,100.0,1808472,6744381,0
IRP CHROMA APARTMENTS LLC,1,80.5,80.5,100.0,1269693,2451836,0
219 1ST AVE N LLC,1,19.5,19.5,100.0,311951,560292,0
BPP HOLLAND MARINA SLU LLC,1,220.6,220.6,91.0,3342349,8109853,0
24 ETRURIA LLC,1,54.1,54.1,100.0,844062,1734554,0
EQR-MARK ON 8TH LLC,1,84.3,84.3,100.0,1396459,1899589,0
RP-SEASONS APTS LLC,1,5.2,5.2,68.0,0,978092,0
19TH AVENUE GARDEN COURT L L C,1,4.4,4.4,76.0,0,827582,0
RM LITTLEFIELD LLC,1,82.3,82.3,41.0,1524966,239825,0
CAPITOL HILL HOUSING PROGRAM,1,3.1,3.1,84.0,0,581081,0
BRYSON PROPERTIES L L C,1,15.3,15.3,,267479,206188,0
NORTHGATE LODGING LLLP,1,115.8,115.8,100.0,1903625,2764471,0
MLK FAMILY ARTS MENTORING ENRICHMENT COMMUNITY CENTER,1,55.7,55.7,,1030746,178106,0
SAFEWAY STORES 98 INC,1,375.0,375.0,17.0,6138700,9217498,0
VIRGINIA MASON MEDICAL CENTER % MARY ANNE OLMSTEAD,1,283.0,283.0,,5012753,3150506,0
EPIC PROPERTY MANAGEMENT L L C,1,64.4,64.4,35.0,1128758,836868,0
MULBERG CLIFFORD R+RUTH M,1,16.5,16.5,,175907,1350995,0
2200 BOSTON LLC,1,2.9,2.9,100.0,0,539037,0
WC SEATTLE VI SPE LLC,1,28.6,28.6,99.0,472556,663676,0
605 15TH AVENUE LLC,1,22.9,22.9,64.0,354691,759784,0
MERCER ST I LLC+MERCER II LLC+MERCER III LLC+MERCER IV LLC+MERCER V LLC,1,22.6,22.6,97.0,308850,1166263,0
WRIGHT ERIN L,1,67.0,67.0,,1231415,302804,0
WRP ASSOCIATES 19TH AVE LLC,1,27.8,27.8,,449882,741779,0
1608 EAST REPUBLICAN L L C,1,61.2,61.2,,1135381,160812,0
STARBOARD MADISON VIEW DST,1,25.6,25.6,99.0,427185,556527,0
MADISON GATE INVESTORS 2016 LLC,1,3.7,3.7,85.0,0,702945,0
LAKE COURT APARTMENTS L.L.C,1,57.7,57.7,,956602,1305502,0
MADISON PARK I LLP,1,4.0,4.0,86.0,0,756326,0
PARKSIDE LLC,1,44.2,44.2,,775513,571283,0
PARKSIDE LIMITED LIABILITY COMPANY,1,2.6,2.6,84.0,0,493380,0
MERCER TOWERS LTD LLC,1,21.5,21.5,67.0,356849,484860,0
MIHOLOVICH PROPERTIES L L C,1,55.0,55.0,66.0,1016118,189812,0
PENN HALL ASSOCIATES,1,21.3,21.3,78.0,367813,325532,0
RUTH COURT APARTMENTS LLC,1,37.0,37.0,96.0,590758,1057924,0
PGA LEGACY LLC,1,51.3,51.3,100.0,915517,507378,0
ANDREWS APARTMENTS LLC,1,18.9,18.9,87.0,305486,501502,0
ASTOR COURT LLC,1,4.4,4.4,35.0,0,818521,0
CLARENDON KS LLC (76.22%-INT)+CLARENDON RAY LLC (23.78%-INT) (TNTS IN CMN),1,54.0,54.0,97.0,869145,1473414,0
SEATTLE CITY OF: SDOT,1,24.0,24.0,100.0,394854,577732,0
TARA APTS LLC,1,2.9,2.9,81.0,0,537651,0
TW BRIGHT STARS II LLC,1,2.8,2.8,,0,527436,0
975 JOHN STREET LLC,1,42.2,42.2,,652161,1429773,0
SI XXI LLC,1,169.2,169.2,83.0,2960539,2255734,0
229 QUEEN ANNE NORTH LLC,1,9.1,9.1,,0,1719784,0
SUMMIT AT LAKE UNION APARTMENTS II LLC,1,21.2,21.2,95.0,0,3978307,0
ACME WMR THE Q APARTMENT LLC,1,170.2,170.2,92.0,3097379,1074414,0
ALTHOFF FAMILY LP,1,31.4,31.4,,540183,501831,0
GDCV LOWER QUEEN ANNE LLC,1,31.6,31.6,98.0,395003,1989513,0
CHAMPION SLU PROPERTY LLC,1,32.3,32.3,,450559,1582917,0
BPP HOLLAND JUXT LLC,1,258.2,258.2,99.0,4340094,5210356,0
T-C UPTOWN APAPRTMENTS LLC,1,13.4,13.4,91.0,0,2525193,0
RAR2 QUEEN ANNE-SEVEN HILLS QRS LLC,1,80.1,80.1,61.0,1369618,1384055,0
QUEENS OAKS LLC,1,15.9,15.9,96.0,259826,391297,0
DELMONT APARTMENTS LLC,1,22.8,22.8,,411028,192140,0
TB 800 SECOND AVENUE LLC,1,7.9,7.9,100.0,108571,392086,0
APERTURE ON FIFTH AVE APARTMENTS LLC,1,53.8,53.8,,827054,1848722,0
ORION APARTMENTS LLC,1,2.8,2.8,69.0,0,522529,0
AQUA TERRACE LLC,1,3.0,3.0,91.0,0,565666,0
BEL-AIR L L C,1,2.6,2.6,93.0,0,497521,0
FIRST AND ROY LP,1,104.1,104.1,80.0,1902805,576115,0
VALI-HAI LIMITED PARTNERSHIP,1,77.0,77.0,49.0,1264381,1843142,0
GILBERT SEATTLE GROUP LLC,1,31.5,31.5,,493576,998613,0
CROSSPOINTE INVESTMENTS LLC,1,6.9,6.9,88.0,0,1294067,0
TOWNVUE HEIGHTS LLC,1,15.7,15.7,89.0,254511,416783,0
DEXTER HOUSE ASSOCIATES L L C,1,2.4,2.4,100.0,0,451237,0
ADAMS PAUL G,1,20.9,20.9,96.0,350472,428132,0
100 ALOHA LP,1,3.2,3.2,100.0,0,603518,0
GRAHAM THOMAS P III+NANCY BOURGOIS,1,7.2,7.2,73.0,66439,686765,0
DEXTER MULTIFAMILY LLC,1,231.2,231.2,98.0,3821562,5301044,0
WSDOT,1,197.0,197.0,100.0,3301011,4084440,0
BOREALIS APARTMENTS LLC,1,46.3,46.3,97.0,767373,1051827,0
SEATTLE UNITY CHURCH,1,57.1,57.1,95.0,956784,1185945,0
VIEW 222 APARTMENTS LLC,1,31.6,31.6,42.0,516889,776711,0
RAR2 QUEEN ANNE - METRO MARKET QRS LLC,1,133.5,133.5,82.0,1932094,5817446,0
RIVET URBAN HOMES LLC+RIVET URBAN HOMES II LLC,1,78.3,78.3,100.0,1274419,1989671,0
TREA UNION AT SLU APRTMENTS LLC,1,263.6,263.6,98.0,4478382,4835166,0
DEXTER CITY LLC,1,78.2,78.2,99.0,1309872,1627450,0
400 QUEEN ANNE LP,1,3.6,3.6,67.0,0,680448,0
17910 BURBANK LLC,1,32.0,32.0,78.0,521307,812673,0
WPPI SEATTLE AC LLC,1,49.1,49.1,88.0,681864,2413609,0
TOP OF THE 5TH LLC,1,4.0,4.0,77.0,0,756668,0
9TH & REPUBLICAN LLC,1,14.6,14.6,84.0,0,2748838,0
ALLEY SEATTLE LLC,1,135.0,135.0,,2254964,2860766,0
UNION VIEW APARTMENTS LLC,1,3.1,3.1,,0,586664,0
CONNELL WESTLAKE LLC,1,48.0,48.0,78.0,791804,1121322,0
W R P LAKE UNION LTD PTNRSHP,1,7.3,7.3,97.0,70545,671900,0
HASS FAMILY LLC,1,7.8,7.8,96.0,0,1474962,0
SULMONETTI ZINN LLC,1,8.6,8.6,90.0,0,1610395,0
2016 E ROANOKE APARTMENTS LLC +TUDOR APTS LLC,1,3.6,3.6,89.0,0,676059,0
SHLP NEPTUNE LLC,1,309.7,309.7,100.0,5656833,1736179,0
801 DEXTER INVESTORS L P,1,186.3,186.3,100.0,3011233,4961863,0
DESC CASCADE SUPPORTIVE HOUSING LP,1,144.5,144.5,52.0,2591681,1280452,0
CASCADE SENIOR HOUSING LIMITED PARTNERSHIP % LOW INCOME HOUSING INSTITUTE,1,7.6,7.6,58.0,0,1422075,0
PPF AMLI 535 PONTIUS AVENUE NORTH LLC,1,161.5,161.5,99.0,2684931,3563111,0
MERCER VIEW APARTMENTS LLC,1,32.5,32.5,76.0,424040,1881711,0
400 FAIRVIEW LLC,1,56.7,56.7,100.0,974415,924100,0
LAKEVIEW APARTMENTS LPS % LIHI,1,52.8,52.8,17.0,874275,1198383,0
EQR-ALCYONE APARTMENTS LLC,1,106.6,106.6,98.0,1694783,3111920,0
SEIM VIRGINIA C,1,65.5,65.5,,1159641,730505,0
ESSEX BERNARD LP,1,33.3,33.3,89.0,500971,1256963,0
SOUTHPARK LAND LLC,1,77.3,77.3,3.0,1308043,1466332,0
BASE PROPERTIES II LLC,1,18.7,18.7,51.0,293390,592105,0
615 SOUTH ALASKA LLC,1,37.1,37.1,67.0,680570,177794,0
LEE FAMILY TRUST,1,4.0,4.0,96.0,0,754853,0
TRINITY 43RD AVE LLC,1,33.1,33.1,,302326,3199685,0
WEBER VENTURES LLC,1,10.0,10.0,85.0,0,1875785,0
UNIVERSITY HOLDINGS 1 LLC +UNIVERSITY HOLDINGS 2 LLC +ET AL,1,61.3,61.3,,1005410,1481193,0
LMB MANAGER LLC+ESCOLIER MNG LLC,1,3.6,3.6,100.0,0,667866,0
MALLOY APTS LLC,1,70.8,70.8,95.0,1154159,1795086,0
UW 20TH AVE LLC,1,2.7,2.7,92.0,0,511974,0
LE CASITA L L C,1,28.0,28.0,,469476,571095,0
MG AT UNIVERSITY LLC,1,133.6,133.6,89.0,1780620,7339106,0
GT VILLAGE VISTA LLC,1,4.4,4.4,,0,835708,0
UNIVERSITY PROPERTY X LLC,1,3.3,3.3,,0,613492,0
BARCLAY APARTMENTS LLC,1,3.5,3.5,98.0,0,650027,0
PACIFIC PROPERTIES SOUTH LLC,1,13.8,13.8,,220055,399416,0
TAMARAC APARTMENTS LLC,1,2.9,2.9,98.0,0,540588,0
ADELAIDE LLC,1,48.0,48.0,,868935,348425,0
VILLAGE MANOR LLC,1,3.7,3.7,95.0,0,695255,0
COHANIM L L C,1,19.2,19.2,100.0,306571,552336,0
IRO APARTMENT INVESTORS 2022 LLC,1,3.2,3.2,96.0,0,607931,0
HIATT KEMP E,1,3.1,3.1,96.0,0,591298,0
DONATELLE LERRYN SCHAEFER,1,35.3,35.3,98.0,643186,215301,0
DD CULP LLC,1,25.8,25.8,,431714,533133,0
SHANNON BUILDING LLC,1,3.2,3.2,98.0,0,598942,0
LOCKE CALVIN W+STEPHEN I+MELVIN F,1,1.7,1.7,,0,324134,0
TRIMARK-UNVERSITY HOUSING III LLC,1,8.2,8.2,100.0,0,1544449,0
CAMPUS VIEW APARTMENTS II L L C,1,2.5,2.5,93.0,0,474786,0
KELLY ANNE APARTMENTS LLC,1,3.3,3.3,97.0,0,613412,0
UNIVERISTY PARK INVESTMENTS L,1,4.5,4.5,80.0,0,843760,0
DOLPHIN APARTMENTS L L C,1,4.1,4.1,75.0,0,767646,0
FENPRO PONDERAY LLC +PONDERAY LLC,1,4.5,4.5,74.0,0,842515,0
UNITED DOMINION REALTY LP C/O UNITED DOMINION REALTY TRUST INC,1,16.8,16.8,93.0,0,3159514,0
ALLEGRO APARTMENTS LLC,1,64.8,64.8,91.0,1005757,2145424,0
EVARTS JOHN,1,102.3,102.3,93.0,1883970,418037,0
CAMPUS VIEW APARTMENTS LLC,1,5.1,5.1,88.0,0,957043,0
JENKINS DANIEL J+KELLY ANNE,1,80.5,80.5,79.0,1364424,1511460,0
3601 W MARGINAL WAY SW LIMITED PS,1,11.9,11.9,,19292,2040213,0
FREEWAY PROPERTIES LLC,1,65.8,65.8,,1103087,1364393,0
NEPTUNE BUILDING LLC,1,125.3,125.3,,2322401,363685,0
KAPPA ALPHA THETA FRATERNITY HOUSING CORPORATION,1,41.7,41.7,,749909,349411,0
PAJIS WA L L C,1,321.1,321.1,19.0,5572911,4720041,0
ASIAN PACIFIC PROPERTIES LLC,1,53.7,53.7,49.0,919831,909457,0
BOWMAN FAMILY I LLC,1,4.2,4.2,,0,790585,0
ARION INVESTMENT L L C,1,5.3,5.3,100.0,0,995249,0
PARSONAGE APARTMENTS LLC,1,32.6,32.6,100.0,524886,882635,0
ACC OP (CORE) LLC,1,133.7,133.7,,2253109,2645761,0
C150-II 4717 BROOKLYN AVE NE LLC,1,40.5,40.5,99.0,639213,1237588,0
ACC OP 11TH AVE LLC,1,85.5,85.5,100.0,1274091,3359235,0
LIGHTBOX LLC,1,79.6,79.6,100.0,1303887,1942641,0
SITCHENSIS HOUSE LLC,1,2.7,2.7,,0,504474,0
ACC OP 12TH AVENUE LLC,1,120.6,120.6,,1775507,4947840,0
FSC REALTY LLC,1,93.1,93.1,44.0,1540325,2125863,0
47TH STREET DEVELOPMENT LLLP,1,9.7,9.7,53.0,6421,1761247,0
SUNRISE CASCADE L L C,1,21.4,21.4,100.0,351451,505241,0
11TH AVENUE & 47TH STREET LLC,1,10.6,10.6,84.0,0,1999300,0
LEE PLAZA ASSOCIATES LLC,1,46.0,46.0,97.0,766410,999405,0
COLLEGIAN COURT L L C,1,45.3,45.3,,760874,927010,0
WILSONIAN PROPCO LLC,1,264.1,264.1,87.0,4891611,814644,0
COHANIM PLAZA LLC,1,3.6,3.6,100.0,0,679088,0
ADRIA NORTHSTAR PROPERTIES LLC,1,2.8,2.8,,0,527491,0
5200 UNIVERSITY WAY LLC,1,3.0,3.0,,0,558322,0
LEE JOE+PENELOPE FAMILY LTD PRTNRSHP,1,4.8,4.8,99.0,0,903047,0
GRE UNIVERSITY L L C,1,55.1,55.1,76.0,742940,2949198,0
LEE FANG AN+YU LING,1,3.3,3.3,98.0,0,627241,0
C/E JENSEN FAMILY LIMITED PARTNERSHIP,1,4.1,4.1,56.0,0,761625,0
YESLER TERRACE OWNERS ASSOCIATION,1,11.7,11.7,89.0,0,2194516,0
BLUME 45TH LLC,1,40.2,40.2,16.0,266864,4889113,0
SPIRE UDB LP,1,113.5,113.5,76.0,1921451,2162045,0
GRADUATE SEATTLE OWNER LLC,1,267.1,267.1,98.0,4833690,1950313,0
UNIVERSITY SILVER CLOUD INN,1,136.4,136.4,90.0,2321006,2463959,0
UNICO BOP KORN WALKER LLC,1,3.2,3.2,,0,598807,0
KEN LOUIE PROPERTIES L L C,1,8.2,8.2,18.0,0,1544981,0
UNION INVESTORS L L C C/O B M HARLAN,1,6.8,6.8,32.0,0,1274344,0
FAN-SHENG TEMPLE OF THE AMERICAN SEATTLE BUDDHIST ASSOCIATION,1,17.1,17.1,70.0,309990,115046,0
IBORROW 201 1ST AVENUE OWNER LLC,1,20.5,20.5,,347630,388878,0
LOUISA HOTEL REDEVELOPMENT LLC,1,71.4,71.4,,1224409,1196296,0
EQR-SAXTON LLC,1,294.1,294.1,99.0,4995827,5417277,0
GT LEXINGTON II LLC +GT LEXINGTON LLC,1,52.0,52.0,97.0,850420,1286552,0
HANA PLACE SEATTLE LLC,1,78.7,78.7,99.0,1228462,2523280,0
DA LI INTERNATIONAL LLC,1,52.6,52.6,97.0,811396,1793195,0
BROOKLYN MAVERICK LLC,1,4.3,4.3,80.0,0,803189,0
HONG KONG BUILDING LLC,1,139.3,139.3,,2483089,1401982,0
MILWAUKEE LLC,1,8.1,8.1,100.0,0,1526307,0
MAIN STREET INTERIM LLC,1,148.7,148.7,83.0,2679844,1190134,0
FAIRFIELD WASHINGTON TERRACE LP,1,96.2,96.2,91.0,1512017,2991943,0
SEA WASHINGTON 2010 LLC,1,10.1,10.1,99.0,0,1906571,0
ALPS HOTEL LLC,1,25.4,25.4,100.0,342916,1360677,0
INTERNATIONAL HOUSE APARTMENTS LLC,1,58.9,58.9,69.0,872473,2370896,0
ASCONA SEATTLE LLC,1,35.0,35.0,98.0,586624,727810,0
PUBLIX OWNER LLC,1,181.7,181.7,24.0,2966858,4535046,0
NAFICY INVESTMENTS INC,1,3.5,3.5,87.0,0,656629,0
ARDA LLC,1,6.2,6.2,,0,1168479,0
SEATTLE 316 FIRST LLC,1,4.0,4.0,98.0,0,747540,0
OK HOTEL APARTMENTS LLC,1,49.7,49.7,89.0,853350,827789,0
JLW UNIVERSITY INVESTMENTS LLC,1,13.7,13.7,21.0,114864,1429177,0
SPRINGTREE PROFESSIONAL LLC,1,2.7,2.7,,0,498407,0
THOMAS NORTHLAKE LLC,1,12.7,12.7,16.0,0,2397454,0
MRM UNION BAY LLC,1,102.3,102.3,,1622289,3041642,0
KENNEDY DON D,1,3.6,3.6,91.0,0,685704,0
ORLOSKY VALERIE+FRANK,1,71.2,71.2,46.0,1287668,519756,0
MEADOWVIEW HOLDINGS 1 LLC +MEADOWVIEW HOLDINGS 2 LLC +ET AL,1,19.7,19.7,,320153,512030,0
SAT 2400 L L C,1,11.9,11.9,99.0,186550,384109,0
ROSE FAMILY LLC JAMES B,1,4.5,4.5,64.0,0,847337,0
FORTY TWO THIRTY ONE LLC,1,2.9,2.9,82.0,0,552442,0
DLK LIMITED LIABILITY COMPANY,1,3.4,3.4,93.0,0,632026,0
BENNETT RICHARD ARTHUR+ROBERTA LEE,1,2.7,2.7,,0,514370,0
LEWISON APARTMENTS LLC,1,4.0,4.0,,0,745425,0
LOS ROBLES LLC+BAYVIEW MANAGER LLC,1,3.4,3.4,68.0,0,641864,0
TYLEE II LLC,1,14.2,14.2,89.0,0,2672623,0
B'NAI B'RITH HILLEL FNTDTN AT THE UW,1,51.1,51.1,,913065,493359,0
SEATTLE CITY OF % TERRY DUNNING,1,69.9,69.9,,1282714,329246,0
SPBS LLC,1,114.9,114.9,,2153379,97920,0
YOUTHCARE,1,23.8,23.8,,373794,744068,0
RUSSELL PARTNERS,1,60.9,60.9,80.0,862724,2844236,0
NORTHCUT HOLDINGS LLC,1,39.2,39.2,,252853,4847882,0
CROSS & CROWN CHURCH,1,29.1,29.1,48.0,511662,360780,0
SEATTLE COMMUNITY CHURCH,1,0.0,0.0,,0,0,0
LAKEVIEW MEDICAL BUILDING LLC,1,56.5,56.5,88.0,997899,665628,0
LOTHLORIEN PROPCO LLC,1,0.0,0.0,,0,0,0
RIVENDELL PROPCO LLC,1,0.0,0.0,,0,0,0
GARFIELD FAMILY LLC,1,1.7,1.7,,0,326077,0
SADE ELEANOR,1,4.3,4.3,86.0,0,817358,0
US ALLIANCE BROADSTONE NE SEATTLE LLC,1,26.2,26.2,94.0,446300,474357,0
CAIRNS INVESTMENTS LLC ET AL,1,35.0,35.0,,588269,713827,0
VILLA ACADEMY,1,166.0,166.0,94.0,3054419,716706,0
DEVELOPMENT SERVICES OF AMERICA INC,1,34.6,34.6,78.0,0,6509308,0
GEORGETOWN CREATIVE DESIGN LLC,1,40.9,40.9,99.0,685022,848519,0
CREF3 DETROIT OWNER LLC,1,45.7,45.7,95.0,691391,1684545,0
ALISUE LLC,1,405.3,405.3,48.0,6968000,6631935,0
5950 BUILDING LLC,1,5.1,5.1,72.0,0,951581,0
SEATTLE HATHAWAY 75 LLC,1,7.0,7.0,77.0,0,1311430,0
GEORGETOWN REAL ESTATE LLC,1,44.2,44.2,,662670,1686201,0
TRUPANION-APIC LLC,1,38.5,38.5,94.0,14080,7091347,0
HISTORICAL SOCIETY OF SEATTLE & KING COUNTY,1,61.8,61.8,86.0,1070183,931492,0
BROWN JODI LEE,1,45.2,45.2,,819411,325104,0
GEORGETOWN INC LLC,1,19.4,19.4,99.0,326172,389252,0
HATCH FAMILY PROPERTIES LLC,1,9.1,9.1,79.0,147933,231039,0
FREYBERG JAMES W+ANNA K ET AL,1,1.7,1.7,99.0,0,324966,0
BUILDINGS A & A EAST AT 1118 NW LEARY WAY L L C,1,4.4,4.4,4.0,0,828352,0
NW INDUSTRIAL MARINE,1,54.4,54.4,61.0,987983,359863,0
LACHAPELLE NATALIE,1,16.1,16.1,84.0,217413,857892,0
SHILSHOLE CFA LLC,1,24.6,24.6,98.0,459931,33430,0
RRDS LLC,1,284.0,284.0,17.0,4863057,4845419,0
FM 2414 SW ANDOVER LLC,1,79.2,79.2,69.0,1268663,2222844,0
1515 LEARY WAY ASSOCIATES LLC,1,3.9,3.9,,27304,460872,0
4722 BALLARD AVENUE NW LLC,1,21.0,21.0,,380072,145801,0
FIORITO DAN N JR+TIMOTHY T,1,1.2,1.2,,0,226890,0
SS MARKET STREET LLC,1,150.7,150.7,,2649114,1874923,0
VIVE APARTMENTS LLC,1,9.6,9.6,79.0,0,1798604,0
BALLARD MILTIFAMILY ACQUISITION LLC,1,110.6,110.6,96.0,1894854,1876426,0
FHF I BALLARD LOFTS LLC,1,42.3,42.3,100.0,661502,1343630,0
SOREN APARTMENTS LLC,1,56.3,56.3,98.0,850164,2091920,0
EQR -TALLMAN LLC,1,164.9,164.9,100.0,2634045,4706677,0
PPF AMLI 2428 NW MARKET STREET LLC,1,117.2,117.2,100.0,1603195,6035937,0
EQR-MARKET STREET LANDING L L C,1,150.5,150.5,100.0,2166464,6659200,0
HLI KOI LLC,1,111.0,111.0,99.0,1826590,2632259,0
BALLARD LANDMARK INN LLC,1,142.1,142.1,26.0,2108648,5671211,0
TERRENO DENVER AVE LLC,1,24.0,24.0,82.0,407102,449396,0
TWO CHAIRS LLC,1,31.6,31.6,71.0,523665,718776,0
SDC ANNEX LLC,1,0.7,0.7,,0,136223,0
W J CARLSON FAMILY LLC,1,111.5,111.5,,2031488,669424,0
TERRENO LUCILE LLC,1,3.6,3.6,96.0,46113,225262,0
SEATAC MARINE PROPERTIES LLC,1,4.6,4.6,11.0,0,874199,0
NW CORPORATE PARK LLC,1,16.1,16.1,84.0,189703,1124547,0
SOUTH ALASKA STREET REAL ESTATE INVESTMENTS LLC,1,94.9,94.9,25.0,1547902,2381537,0
BRIDGE POINT SEATTLE 130 LLC,1,74.6,74.6,83.0,1359579,453721,0
LEVINSON MAYO LLC,1,7.8,7.8,67.0,75601,713953,0
ELEVATE PROPCO IX LLC,1,11.9,11.9,100.0,212861,116988,0
SUN FO LLC,1,5.4,5.4,61.0,0,1011430,0
BDR SONATA EAST LLC,1,43.9,43.9,98.0,701562,1244221,0
RAINIER VISTA BLOCK 43 OWNER LP,1,37.4,37.4,69.0,592525,1120289,0
EAGLE RIDGE PLAZA LLC,1,20.7,20.7,80.0,320049,695672,0
SEATTLE DEPT OF TRANSPORTATION,1,4.8,4.8,38.0,0,901938,0
JULIUS HORTON BUILDING L L C,1,3.6,3.6,,0,676424,0
PARK MANOR APARTMENTS LLC C/O STANLEY KOKI,1,64.1,64.1,1.0,863279,3440361,0
IV1 7700 2ND AVE S LLC,1,8.1,8.1,71.0,130118,232058,0
YSD LLC,1,50.0,50.0,59.0,904179,376210,0
LMNG LLC,1,2.0,2.0,58.0,0,378328,0
DEKERIVER LLC,1,18.6,18.6,70.0,321030,295243,0
EMERSON ENTERPRISES L L C,1,17.4,17.4,23.0,196890,1297562,0
TALON 303 RIVER LLC,1,10.4,10.4,79.0,138896,574634,0
LBA RV-COMPANY XXXIII LP,1,67.3,67.3,71.0,1100011,1663415,0
FM 660 SOUTH OTHELLO LLC,1,0.0,0.0,,0,0,0
MICHIGAN LLC,1,72.9,72.9,77.0,1348187,243252,0
BOYS & GIRLS CLUBS OF KING COUNTY `,1,6.5,6.5,,0,1220794,0
MILITARY ROAD SOUTH ASSOCIATES L L C,1,133.6,133.6,51.0,2253735,2605858,0
FIRST SOUTH PROPERTIES L L C,1,33.5,33.5,,437090,1926841,0
WASHINGTON STATE BOARD FOR COMMUNITY AND TECHNICAL COLLEGE,1,118.8,118.8,,1781145,4550967,0
GALLAGHER 1521 LLC,1,8.0,8.0,87.0,0,1500045,0
BALLARD APARTMENTS LLC,1,213.6,213.6,,3531120,4909059,0
LANDMARK BUILDING & HOLDING CO LLC,1,7.9,7.9,98.0,76290,714775,0
TRINITY PROPERTIES INC,1,3.6,3.6,,0,677381,0
CKM ASSOCIATES LLC,1,89.1,89.1,84.0,1423472,2544425,0
NORDIC HERITAGE MUSEUM FOUNDATION,1,18.2,18.2,,66486,2750680,0
RIGGLE JAMES C+JEWELL HARRISON J,1,197.7,197.7,,3597667,1247293,0
VISKO ENTERPRISES INC,1,79.6,79.6,4.0,1416761,822234,0
KING COUNTY - WTD,1,7.7,7.7,48.0,0,1441927,0
JONES WASHINGTON STEVEDORING C,1,60.6,60.6,37.0,1013306,1280444,0
SEAFREEZE ACQUISITION LLC,1,21.9,21.9,,0,4127097,0
PUBLIC STORAGE PROPERTIES VII,1,1.4,1.4,,0,268985,0
PACNORTH PROPERTIES LLC+RIVERCROFT REAL ESTATE ASSETS LLC,1,31.2,31.2,95.0,84086,5025685,0
20TH BLUE STONE LLC,1,6.9,6.9,70.0,0,1299153,0
DESC DELRIDGE SUPPORTIVE HOUSING LP,1,84.7,84.7,36.0,1468644,1254692,0
LOUIE FAMILY L L C #2,1,2.7,2.7,93.0,0,511042,0
