f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
300 PINE ST,KKR,"New York, NY",277,Asset Management,Private Ownership,"Wikipedia:KKR & Co. Inc., also known as Kohlberg Kravis Roberts & Co., is an American global investment company that manages multiple alternative asset classes, including private equity, energy, infrastructure, real estate, credit, and, through its strategic partners, hedge funds. As of December 31, 2022, the firm had completed more than 690 private equity investments in portfolio companies with approximately $700 billion of total enterprise value",,"Googling 300 Pine St Seattle Owner found multiple articles about the sale in 2021 Co-owned with Urban Renaissance Group, but KKR's billions & billions can pay for a heat pump",Alice,3,Office,861702,300 PINE STREET,0.5,462,0.81,0,FALSE,433,8634230000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1929,SEATTLE,WA,98101,47.6113,-122.33844,,,Office,,,23.3,23.8,20543094,20095750,56.6,57.2,240734,2407,15435253,4523814,4419764,,861702,0,1,8,Office,578620,Retail Store,283082,,,,No Issue,Compliant,,,Office
901 5TH AVE,Vanbarton Group,"New York, NY",8.9,Real Estate Investment,Private Ownership,"""Vanbarton Group is a vertically integrated real estate investment manager with a 30-year track record investing in customized real estate strategies for large, sophisticated institutional investors.""",,"Listed as one of their properties on their website, agent is a rep from Vanbarton Group",Alex,1,Office,540589,901 FIFTH AVENUE,0.5,292,0.81,0,FALSE,355,942000365,2020,NonResidential,VBGO 901 FIFTH SEA LLC,1,DOWNTOWN,NOT_FOUND,1973,SEATTLE,WA,98104,47.60616,-122.33165,,,Office,84,,60.6,61.3,36764892,36327076,166.3,168.1,0,0,35057891,10274880,1269177,,711611,171022,1,42,Office,581558,Parking,189600,Retail Store,18026,,No Issue,Compliant,,,Office
2401 4TH AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,"LLC Address and Governors match, and Selig business model is ownership, not building managment",Alice,1,Office,212210,FOURTH & BATTERY BUILDING,0.5,110,0.81,0,FALSE,324,656000480,2020,NonResidential,SREH 2018 MANAGEMENT LLC,1,DOWNTOWN,NOT_FOUND,1978,SEATTLE,WA,98121,47.61619,-122.34599,,,Office,51,,64.5,65.3,13898500,13722842,174.3,176,768375,7684,12954467,3796737,0,,234000,21790,1,12,Office,179066,Laboratory,29952,Parking,18928,,No Issue,Compliant,,,Office
1200 3RD AVE,Expeditors International,Seattle,3.15,Company-owned HQ building,Private Ownership,"Expeditors is an American worldwide logistics and freight forwarding company headquartered in Seattle, Washington. Revenue $8B, so they can probably buy a heat pump",,"Expeditors SEC disclosure indicating it owns the building, which is Expeditors HQ",Alice,1,Office,189175,1200 3RD AVENUE,0.5,95,0.81,0,FALSE,766,1975200015,2020,NonResidential,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,7,DOWNTOWN,NOT_FOUND,1921,SEATTLE,WA,98101,47.60741,-122.33565,,,Office,58,,109.7,109.7,17908318,17908318,307.2,307.2,0,0,17908319,5248628,0,,189175,0,1,13,Office,146697,Data Center,12017,Other - Restaurant/Bar,4518,,No Issue,Compliant,,,Office
62 CEDAR ST,Rise Properties Trust,"Toronto, ON",2.2,Real Estate Investment,Private Ownership,"""We are a private Canadian REIT that acquires and revitalizes underperforming rental apartment communities primarily in the Pacific Northwest."" AUM $3B Canadian = $2.2B US",,Found article about purchase of apartments,Alex,1,Multifamily Housing,161722,JOSEPH ARNOLD LOFTS,0.5,75,0.89,0,FALSE,49822,653000395,2020,Multifamily HR (10+),RISE-CG JA LOFTS LIMITED PARTNERSHIP,1,DOWNTOWN,,2013,SEATTLE,SEATTLE,98121,47.6147,-122.35238,,,Multifamily HR (10+),,,25.5,25.8,4395264,4346490,60.2,61,1086901,10869,3259589,955331,0,,161722,0,1,13,Multifamily Housing,166612,Parking,37072,Retail Store,4048,,No Issue,Compliant,,,Multifamily Housing
120 LENORA ST,Lumen Technologies,"Monroe, LA",45,"Other large busines (chain store, storage, Amazon, etc)",Private Ownership,"This giant telecom can afford heat pumps, and appears to have already electfified.",,"Building name is Century Link (which is part of Lumen), and google image shows Lumen sign on the door. TaxParcelOwner is Pacific Northwest Bell, a predecessor to both.",,3,Other,155500,CENTURYLINK: LENORA MAIN,0.5,75,2.48,0,FALSE,428,1977200740,2020,NonResidential,PACIFIC NORTHWEST BELL TELEPHO,1,DOWNTOWN,NOT_FOUND,1985,SEATTLE,WA,98121,47.61252,-122.34351,,,Other,,,96,96,14085664,14085664,268.9,268.9,0,0,14085664,4128272,0,,193500,38000,1,12,Other,146689,,,,,,No Issue,Compliant,,,Other
1511 6TH AVE,Kenneth Fisher,"Hunts Point, WA",,Seattle Real Estate - size undetermined,Private Ownership,"Appears to be a local investor and real estate manager. Not to be confused with the other Kenneth Fisher, who is founder of Fisher Investments but seems to have no ties to this Kenneth Fisher",,Ken purchased the house associated with the LLC (https://connectedinvestors.com/investment-property/3100-80th-ave-ne/id-195195662) and is listed on his linkedin. Not to be confused with the other Ken Fisher in WA who is a billionaire and founder of Fisher Investments,Alex,1,Office,127268,DECATUR BUILDING,0.5,64,0.81,0,FALSE,405,1975700125,2020,NonResidential,LCF DECATUR LLC,1,DOWNTOWN,NOT_FOUND,1921,SEATTLE,WA,98101,47.61166,-122.33528,,,Office,71,,48.5,48.5,6166576,6166576,128.8,128.8,292434,2924,5650408,1656040,223735,,127268,0,1,4,Office,71284,Retail Store,44122,Other - Restaurant/Bar,11862,,No Issue,Compliant,,,Office
2721 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,120405,AVENUE ONE CONDOMINIUM,0.5,60,0.89,0,FALSE,19583,324500000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,2004,SEATTLE,WA,98121,47.61598,-122.35149,,,Multifamily HR (10+),87,,33.9,34.2,4007630,3963272,82.6,83.6,820628,8206,3142643,921056,0,,120405,0,1,13,Multifamily Housing,112796,Parking,14410,Office,3252,,No Issue,Compliant,,,Multifamily Housing
2334 ELLIOTT AVE,Angelo Gordon Co.,"New York, NY",53,Asset Management,Private Ownership,"We are a leading, privately-held alternative investment firm, managing approximately $53 billion across a broad range of credit and real estate strategies. For nearly 35 years, we have been investing on behalf of pension funds, corporations, endowments, foundations, sovereign wealth funds and individuals.","We are an Alliance Member of the Sustainability Accounting Standards Board (SASB) and a signatory to the UN-supported Principles for Responsible Investment (PRI).
","Address matches, listed in the LLC",Alex,1,Multifamily Housing,109745,ARTHOUSE APARTMENTS,0.5,58,0.89,0,FALSE,49928,654000305,2020,Multifamily MR (5-9),AGC ARTHOUSE OWNER LLC,7,DOWNTOWN,,2014,SEATTLE,SEATTLE,98121,47.61283,-122.34884,,,Multifamily MR (5-9),98,,27.8,28.2,2957999,2914481,62.8,63.7,897994,8980,2016487,590998,0,,135643,25898,1,7,Multifamily Housing,104890,Parking,25898,,,,No Issue,Compliant,,,Multifamily Housing
2021 7TH AVE,Amazon,Seattle,464,"Other large busines (chain store, storage, Amazon, etc)",Private Ownership,,,"Biz Name & Principals a real business & real people, and same as previously sleuthed buildings",Alice,3,Office,1076961,AMAZON DOPPLER BUILDING,0.4,480,0.81,0,FALSE,50160,659000775,2020,NonResidential,ACORN DEVELOPMENT LLC,7,DOWNTOWN,,2016,SEATTLE,SEATTLE,,47.61523,-122.33835,,,Office,92,,41.5,42.5,47982672,46787212,108.8,111.8,4710401,47104,43272281,12682380,0,,1496961,420000,2,37,Office,1023298,Parking,448625,Convention Center,59672,,No Issue,Compliant,,,Office
2100 7TH AVE,Amazon,Seattle,464,"Other large busines (chain store, storage, Amazon, etc)",Private Ownership,,,"Biz Name & Principals a real business & real people, and same as previously sleuthed buildings",Alice,3,Office,1124950,AMAZON REINVENT TOWERS (EAST + WEST),0.4,450,0.81,0,FALSE,50656,660000270,2020,NonResidential,ACORN DEVELOPMENT LLC,1,DOWNTOWN,,2019,SEATTLE,SEATTLE,98121,47.61629,-122.33902,,,Office,93,,37.1,37.2,39184456,39158448,95.6,96.1,5060223,50602,34098225,9993618,0,,1599394,474444,2,38,Office,1004885,Parking,427919,Other,22741,,No Issue,Compliant,,,Office
1201 3RD AVE,Metlife Investment Management and Clarion Partners,"New York, NY",675,Real Estate Development and Management,Private Ownership,Metlife & Clarian co-own the Washington Mutual building at 1201 3rd Ave,,Found article on sale of building: Metlife & Claron co-own,Alex,2,Office,1115000,WASH MUTUAL TOWER (1201 THIRD AVE),0.4,447,0.81,0,FALSE,399,1974700120,2020,NonResidential,1201 TAB OWNER LLC,7,DOWNTOWN,NOT_FOUND,1988,SEATTLE,WA,98101,47.60723,-122.33611,,,Office,80,,42.1,43,48490948,47539440,114.1,116.2,481174,4812,44850876,13145040,2207404,,1400000,285000,1,55,Office,1119004,Parking,264481,Restaurant,9571,,No Issue,Compliant,,,Office
801 5TH AVE,KKR,"New York, NY",277,Asset Management,Private Ownership,"Wikipedia:KKR & Co. Inc., also known as Kohlberg Kravis Roberts & Co., is an American global investment company that manages multiple alternative asset classes, including private equity, energy, infrastructure, real estate, credit, and, through its strategic partners, hedge funds. As of December 31, 2022, the firm had completed more than 690 private equity investments in portfolio companies with approximately $700 billion of total enterprise value",,"Googling ""f5 tower seattle owner' found this article as well as this one that mentions the builidnng will be managed by Urban Renaissance Group",Alice,3,Office,786812,F5 Tower,0.4,328,0.81,0,FALSE,50518,942000532,2020,NonResidential,NOT FOUND,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98104,47.60518,-122.33097,,,Office,75,,47.8,47.8,39579496,39579496,128.6,128.6,2467721,24677,37111778,10876840,0,,905655,118843,1,44,Office,584548,Hotel,243800,Parking,118843,,No Issue,Compliant,,,Office
1700 7TH AVE,Clise Properties,Seattle,0.4,Seattle Real Estate - Large,Private Ownership,"""For more than 132 years, Clise Properties and the Clise family have led development in Seattle."" Among other things, Clise develops data centers. See AUMCalculations tab for back of the envelope very conservative AUM calculation",,"Googling ""1700 SEVENTH BUILDING seattle owner"" finds ""https://www.nmrk.com/insights/press-releases/clise-properties-acquires-100-percent-interest-in-1700-7th-avenue-in-seattle-washington-newmark-to-serve-as-exclusive-leasing-agent""",Alice,3,Office,542671,1700 SEVENTH BUILDING,0.4,214,0.81,0,FALSE,329,659000235,2020,NonResidential,700 OLIVE LP  % CLISE PROPERTIES,7,DOWNTOWN,NOT_FOUND,2000,SEATTLE,WA,98101,47.61399,-122.33523,,,Office,86,,44.5,45.1,24912440,24562918,119.1,120.9,1749306,17493,22813611,6686287,0,,747747,205076,1,23,Office,542461,Parking,219045,Restaurant,9337,,No Issue,Compliant,,,Office
1301 5TH AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,"Googling Addr+Owner or BuildingName+owner finds Wikipedia citing ownership, and Googling  finds entry on Unico site. BUT other searches found UW as the owner, and this article indicates that at the time UW owns this as part of Metropolitan Track and Unico manages: ""In competitive processes, the UW has selected Unico to continue to provide property management and leasing services for most of the tract, and Wright Runstad to redevelop most of Rainier Square"".  UPDATE: Wright Runstad holds an 80 year lease: https://wrightrunstad.com/properties/rainier-square-rainier-tower/",Alice,3,Office,476871,RAINIER TOWER,0.4,198,0.81,0,FALSE,388,7137830040,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1976,SEATTLE,WA,98101,47.60896,-122.33481,,,Office,56,,78,79.8,38187180,37315664,218.3,223.4,0,0,37315679,10936600,0,,476871,0,1,42,Office,478569,,,,,,No Issue,Compliant,,,Office
1007  STEWART ST,Union Investment,"Frankfurt, Germany",56.8,Real Estate Investment,Private Ownership,Purchased Midtown 21 building in Seattle in 2017,,"Google Principals, plus this article on purchase by Union Investments",EM,1,Office,361575,MIDTOWN 21 (AMAZON),0.4,136,0.81,0,FALSE,50192,660001605,2020,NonResidential,MIDTOWN21 LLC,1,DOWNTOWN,,2016,SEATTLE,SEATTLE,,47.61632,-122.33304,,,Office,85,,49.6,50.3,18783632,18528384,135.2,136.9,790106,7901,17738278,5198792,0,,489821,128246,1,21,Office,373458,Parking,110813,,,,No Issue,Compliant,,,Office
505 5TH AVE S,Vulcan Real Estate,Seattle,5,Seattle Real Estate - Large,Private Ownership,"Vulcan Real Estate aims to achieve market rates for return and a positive impact on our community by pioneering sustainable design. We are the largest private developer of new construction LEED certified projects in Seattle.  Back of the envelope assets guess: Vulcan Real Estate is owned by the Allen trust. Allen was worth over $20B when he died in 2018. If half of that went to the trust (we think it was much more), and that has since halved in value (we don't think it did), it would still be worth more than $5B.","""We are the largest private developer of new construction LEED certified projects in Seattle""",,Alice,1,Office,312512,505 UNION STATION,0.4,118,0.81,0,FALSE,658,8809700020,2020,NonResidential,505 UNION STATION LTD,2,DOWNTOWN,NOT_FOUND,2000,SEATTLE,WA,98104,47.59865,-122.32854,,,Office,62,,70.8,70.8,22140730,22140730,198.3,198.3,14692,147,22126039,6484771,0,,312512,0,1,11,Office,303312,Data Center,4738,Restaurant,4462,,No Issue,Compliant,,,Office
505 1ST AVE S,Hudson Pacific Properties,Los Angeles,8.99,Real Estate Investment,Private Ownership,"Wikipedia: Hudson Pacific Properties is a real estate investment trust with 15.8 million square feet of office buildings, 1.5 million square feet of sound stages, and undeveloped rights for 3 million square feet of additional commercial property.","WE'RE COMMITTED TOMINIMIZING OUR FOOTPRINT
 We’re working to embed sustainability into every aspect of our business—whether designing a new property, reimagining a dated building, or managing our existing real estate portfolio. In 2020, we achieved net zero carbon in all operations five years ahead of schedule and set a new science-based goal to reduce absolute greenhouse gas emissions 50% by 2030 (from a 2018 baseline)",,Alice,1,Office,285914,505 FIRST AVENUE BUILDING,0.4,113,0.81,0,FALSE,634,7666206900,2020,NonResidential,HUDSON FIRST & KING LLC,1,DOWNTOWN,NOT_FOUND,2009,SEATTLE,WA,98104,47.59767,-122.33467,,,Office,82,,65.6,65.6,20581442,20581442,183.2,183.2,78964,790,20502479,6008933,0,,443509,157595,1,7,Office,308286,Parking,150180,Retail Store,5495,,No Issue,Compliant,,,Office
2100 3RD AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,187080,ROYAL CREST CONDOMINIUM,0.4,81,0.89,0,FALSE,27198,7457200000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,1973,SEATTLE,WA,98121,47.61353,-122.34232,,,Multifamily HR (10+),94,,29.2,30,5587653,5453984,71.7,73.5,1087631,10876,4366353,1279705,0,,187080,0,1,26,Multifamily Housing,181135,Retail Store,5410,,,,No Issue,Compliant,,,Multifamily Housing
2003 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,185506,MARKET PLACE NORTH PHASE I CONDOMINIUM,0.4,65,0.89,0,FALSE,25410,5160650000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,1982,SEATTLE,WA,98121,47.61124,-122.34339,,,Multifamily HR (10+),63,,36.8,36.8,6504336,6496556,96.6,96.6,641098,6411,5855456,1716136,0,,185506,0,1,21,Multifamily Housing,150655,Retail Store,26074,,,,No Issue,Compliant,,,Multifamily Housing
701 5TH AVE,Gaw Capital,Hong Kong,33.6,Asset Management,Private Ownership,"Gaw Capital is a real estate private equity fund management firm headquartered in Hong Kong. In 2022, the firm was ranked by PERE as the 11th largest Private Equity Real Estate firm based on total fundraising over the most recent five-year period. In the US, Gaw Capital operates through their associate, Downtown Partners","""To maintain our buildings’ overall ability to provide a comfortable, healthy, and productive environment over the long term without negatively impacting the environment.
To ensure our asset management to be under an efficient and manageable processes and systems in place which comply with stakeholder requirements related to quality, health and safety, environmental management, corporate social responsibility and other areas of sustainable development."".  Has a carbon neutral data center.  But also a bunch of greenwashing language.",https://www.bizjournals.com/seattle/blog/2015/08/columbia-center-sells-to-hong-kong-company-for-711.html,Alice,1,Office,1632820,COLUMBIA CENTER,0.3,485,0.81,0,FALSE,775,942000640,2020,NonResidential,GC COLUMBIA LLC,1,DOWNTOWN,NOT_FOUND,1985,SEATTLE,WA,98104,47.60454,-122.33072,,,Office,86,,46.6,46.6,76146184,76146184,128.8,128.8,1675277,16753,74470892,21826170,0,,1952220,319400,1,76,Office,1577300,Parking,319400,Other,55520,,No Issue,Compliant,,,Office
